sgg_key,sido,sigungu,year,price_median,price_avg,parcels
강원|강릉시,강원,강릉시,1990,4543,44196,138287
강원|강릉시,강원,강릉시,1991,5087,50471,143153
강원|강릉시,강원,강릉시,1992,5861,63037,148999
강원|강릉시,강원,강릉시,1993,5382,59349,149411
강원|강릉시,강원,강릉시,1994,5090,59670,149440
강원|강릉시,강원,강릉시,1995,5273,61483,149773
강원|강릉시,강원,강릉시,1996,5413,62308,151202
강원|강릉시,강원,강릉시,1997,6236,65863,153591
강원|강릉시,강원,강릉시,1998,6372,66377,155909
강원|강릉시,강원,강릉시,1999,5885,59393,158121
강원|강릉시,강원,강릉시,2000,6040,59910,158462
강원|강릉시,강원,강릉시,2001,6178,58997,157368
강원|강릉시,강원,강릉시,2002,6252,59224,158194
강원|강릉시,강원,강릉시,2003,6391,60956,158895
강원|강릉시,강원,강릉시,2004,8897,67828,162678
강원|강릉시,강원,강릉시,2005,10397,72722,162803
강원|강릉시,강원,강릉시,2006,9400,65314,147366
강원|강릉시,강원,강릉시,2007,11579,74176,166259
강원|강릉시,강원,강릉시,2008,12279,74697,167494
강원|강릉시,강원,강릉시,2009,11568,70878,178294
강원|강릉시,강원,강릉시,2010,9946,62962,210952
강원|강릉시,강원,강릉시,2011,9778,61139,220829
강원|강릉시,강원,강릉시,2012,10996,64147,221177
강원|강릉시,강원,강릉시,2013,11905,66327,220842
강원|강릉시,강원,강릉시,2014,13184,69469,220821
강원|강릉시,강원,강릉시,2015,14156,71526,222336
강원|강릉시,강원,강릉시,2016,15385,74825,222577
강원|강릉시,강원,강릉시,2017,16371,77099,223968
강원|강릉시,강원,강릉시,2018,17592,81271,225785
강원|강릉시,강원,강릉시,2019,19288,86527,227682
강원|강릉시,강원,강릉시,2020,20889,90989,229498
강원|강릉시,강원,강릉시,2021,23569,100852,232072
강원|강릉시,강원,강릉시,2022,26408,111659,233596
강원|강릉시,강원,강릉시,2023,25006,105876,234418
강원|강릉시,강원,강릉시,2024,25245,106410,236135
강원|강릉시,강원,강릉시,2025,25751,108088,237626
강원|강릉시,강원,강릉시,2026,26367,110663,238292
강원|고성군,강원,고성군,1990,3137,7831,50292
강원|고성군,강원,고성군,1991,3498,10189,57110
강원|고성군,강원,고성군,1992,3536,10678,58058
강원|고성군,강원,고성군,1993,3439,10793,58357
강원|고성군,강원,고성군,1994,3495,11147,59618
강원|고성군,강원,고성군,1995,3704,15221,61033
강원|고성군,강원,고성군,1996,3806,16303,63996
강원|고성군,강원,고성군,1997,3973,19542,65009
강원|고성군,강원,고성군,1998,4238,21313,66281
강원|고성군,강원,고성군,1999,4003,19599,66263
강원|고성군,강원,고성군,2000,4308,21010,62952
강원|고성군,강원,고성군,2001,4456,21964,63667
강원|고성군,강원,고성군,2002,4490,23190,64124
강원|고성군,강원,고성군,2003,4526,24380,64247
강원|고성군,강원,고성군,2004,5790,28405,64978
강원|고성군,강원,고성군,2005,6479,33404,65720
강원|고성군,강원,고성군,2006,6271,29851,62889
강원|고성군,강원,고성군,2007,6587,33500,67926
강원|고성군,강원,고성군,2008,6875,34042,68990
강원|고성군,강원,고성군,2009,6700,31934,73911
강원|고성군,강원,고성군,2010,6193,28840,87860
강원|고성군,강원,고성군,2011,6259,27876,95346
강원|고성군,강원,고성군,2012,6521,27817,97495
강원|고성군,강원,고성군,2013,6761,29294,98049
강원|고성군,강원,고성군,2014,7216,30423,98775
강원|고성군,강원,고성군,2015,7670,31176,99411
강원|고성군,강원,고성군,2016,7987,31769,100445
강원|고성군,강원,고성군,2017,8511,32564,101078
강원|고성군,강원,고성군,2018,9262,35227,101979
강원|고성군,강원,고성군,2019,10401,38924,102910
강원|고성군,강원,고성군,2020,10865,40147,103649
강원|고성군,강원,고성군,2021,11895,43254,104266
강원|고성군,강원,고성군,2022,13161,46810,105191
강원|고성군,강원,고성군,2023,12344,43842,104812
강원|고성군,강원,고성군,2024,12646,44985,106585
강원|고성군,강원,고성군,2025,12932,46203,107880
강원|고성군,강원,고성군,2026,13221,47435,109519
강원|동해시,강원,동해시,1990,14984,49541,36317
강원|동해시,강원,동해시,1991,16931,58037,40473
강원|동해시,강원,동해시,1992,17217,62451,39256
강원|동해시,강원,동해시,1993,16977,62859,39420
강원|동해시,강원,동해시,1994,17678,66152,42904
강원|동해시,강원,동해시,1995,21507,73566,43979
강원|동해시,강원,동해시,1996,20508,74970,43376
강원|동해시,강원,동해시,1997,26860,85395,45034
강원|동해시,강원,동해시,1998,30456,90258,45541
강원|동해시,강원,동해시,1999,29067,88458,44771
강원|동해시,강원,동해시,2000,29931,87288,45612
강원|동해시,강원,동해시,2001,30949,85192,46130
강원|동해시,강원,동해시,2002,32636,83472,45687
강원|동해시,강원,동해시,2003,33127,81478,45823
강원|동해시,강원,동해시,2004,34944,80512,45961
강원|동해시,강원,동해시,2005,38747,83615,46101
강원|동해시,강원,동해시,2006,36926,81735,41130
강원|동해시,강원,동해시,2007,47560,88782,46715
강원|동해시,강원,동해시,2008,50580,91550,47428
강원|동해시,강원,동해시,2009,45566,85429,51943
강원|동해시,강원,동해시,2010,42109,81483,55904
강원|동해시,강원,동해시,2011,38646,78389,57986
강원|동해시,강원,동해시,2012,40482,79822,57075
강원|동해시,강원,동해시,2013,42588,80967,57203
강원|동해시,강원,동해시,2014,44037,82772,57193
강원|동해시,강원,동해시,2015,45675,83819,57350
강원|동해시,강원,동해시,2016,46842,85300,57477
강원|동해시,강원,동해시,2017,49516,87037,57707
강원|동해시,강원,동해시,2018,50824,88170,58118
강원|동해시,강원,동해시,2019,52194,89999,58528
강원|동해시,강원,동해시,2020,53349,91871,58783
강원|동해시,강원,동해시,2021,56032,97605,59025
강원|동해시,강원,동해시,2022,59983,105254,59357
강원|동해시,강원,동해시,2023,55878,98316,59455
강원|동해시,강원,동해시,2024,55644,99082,59357
강원|동해시,강원,동해시,2025,56147,100423,59811
강원|동해시,강원,동해시,2026,56676,101540,59979
강원|삼척시,강원,삼척시,1990,1898,12544,86689
강원|삼척시,강원,삼척시,1991,1936,14831,89416
강원|삼척시,강원,삼척시,1992,2007,16819,90216
강원|삼척시,강원,삼척시,1993,2012,16989,91166
강원|삼척시,강원,삼척시,1994,1861,17161,92077
강원|삼척시,강원,삼척시,1995,2072,17834,95618
강원|삼척시,강원,삼척시,1996,2087,18737,97036
강원|삼척시,강원,삼척시,1997,2109,19734,99298
강원|삼척시,강원,삼척시,1998,2323,20621,100563
강원|삼척시,강원,삼척시,1999,2319,19871,99557
강원|삼척시,강원,삼척시,2000,2421,20316,99228
강원|삼척시,강원,삼척시,2001,2480,20490,99697
강원|삼척시,강원,삼척시,2002,2591,20757,99982
강원|삼척시,강원,삼척시,2003,2691,21019,100528
강원|삼척시,강원,삼척시,2004,3432,22760,100820
강원|삼척시,강원,삼척시,2005,4500,26576,100868
강원|삼척시,강원,삼척시,2006,4285,23595,94282
강원|삼척시,강원,삼척시,2007,4908,27044,101495
강원|삼척시,강원,삼척시,2008,5077,26931,102961
강원|삼척시,강원,삼척시,2009,4897,25897,109637
강원|삼척시,강원,삼척시,2010,4663,25393,117672
강원|삼척시,강원,삼척시,2011,4296,24187,133613
강원|삼척시,강원,삼척시,2012,4578,25137,143830
강원|삼척시,강원,삼척시,2013,4809,26322,144720
강원|삼척시,강원,삼척시,2014,5062,27660,145387
강원|삼척시,강원,삼척시,2015,5268,28688,145945
강원|삼척시,강원,삼척시,2016,5528,30005,146737
강원|삼척시,강원,삼척시,2017,5807,31223,147113
강원|삼척시,강원,삼척시,2018,6131,32618,147488
강원|삼척시,강원,삼척시,2019,6419,33782,148270
강원|삼척시,강원,삼척시,2020,6609,35005,149334
강원|삼척시,강원,삼척시,2021,7059,37498,149915
강원|삼척시,강원,삼척시,2022,7491,40136,150366
강원|삼척시,강원,삼척시,2023,6944,37541,150049
강원|삼척시,강원,삼척시,2024,7026,37836,151502
강원|삼척시,강원,삼척시,2025,7053,38042,152212
강원|삼척시,강원,삼척시,2026,7085,38506,153220
강원|속초시,강원,속초시,1990,73231,142072,21553
강원|속초시,강원,속초시,1991,91022,167600,25100
강원|속초시,강원,속초시,1992,117668,211167,26398
강원|속초시,강원,속초시,1993,109759,207074,26575
강원|속초시,강원,속초시,1994,110112,205589,26079
강원|속초시,강원,속초시,1995,113318,203417,27095
강원|속초시,강원,속초시,1996,115524,202249,27997
강원|속초시,강원,속초시,1997,109758,195152,31570
강원|속초시,강원,속초시,1998,115271,203460,30445
강원|속초시,강원,속초시,1999,110330,190108,30100
강원|속초시,강원,속초시,2000,111047,189876,30618
강원|속초시,강원,속초시,2001,111582,189642,31091
강원|속초시,강원,속초시,2002,111918,187574,31547
강원|속초시,강원,속초시,2003,111761,186935,32006
강원|속초시,강원,속초시,2004,112009,186149,33057
강원|속초시,강원,속초시,2005,107410,191408,35053
강원|속초시,강원,속초시,2006,68825,194773,29836
강원|속초시,강원,속초시,2007,115845,195619,36472
강원|속초시,강원,속초시,2008,121883,198404,36741
강원|속초시,강원,속초시,2009,121116,194470,37162
강원|속초시,강원,속초시,2010,121466,193637,38202
강원|속초시,강원,속초시,2011,129519,199664,36687
강원|속초시,강원,속초시,2012,114746,191890,38652
강원|속초시,강원,속초시,2013,114392,192648,38719
강원|속초시,강원,속초시,2014,117067,193593,37983
강원|속초시,강원,속초시,2015,118726,195849,38252
강원|속초시,강원,속초시,2016,125036,201946,38359
강원|속초시,강원,속초시,2017,130285,207344,38798
강원|속초시,강원,속초시,2018,144440,225598,39040
강원|속초시,강원,속초시,2019,153272,244088,39232
강원|속초시,강원,속초시,2020,160321,256735,39453
강원|속초시,강원,속초시,2021,177072,283446,39804
강원|속초시,강원,속초시,2022,202782,315474,39835
강원|속초시,강원,속초시,2023,192727,303296,39560
강원|속초시,강원,속초시,2024,196494,304744,40041
강원|속초시,강원,속초시,2025,202603,315815,40203
강원|속초시,강원,속초시,2026,204183,321340,40752
강원|양구군,강원,양구군,1990,1196,7738,48375
강원|양구군,강원,양구군,1991,1553,9310,44012
강원|양구군,강원,양구군,1992,1707,9551,46161
강원|양구군,강원,양구군,1993,1671,9586,45981
강원|양구군,강원,양구군,1994,1580,10001,47193
강원|양구군,강원,양구군,1995,1395,9082,52272
강원|양구군,강원,양구군,1996,1445,9952,55443
강원|양구군,강원,양구군,1997,1438,9937,56242
강원|양구군,강원,양구군,1998,1617,10690,56122
강원|양구군,강원,양구군,1999,1623,10190,55921
강원|양구군,강원,양구군,2000,1764,10675,55939
강원|양구군,강원,양구군,2001,2001,11107,56110
강원|양구군,강원,양구군,2002,2381,11993,56681
강원|양구군,강원,양구군,2003,2571,12368,58203
강원|양구군,강원,양구군,2004,3178,13968,58639
강원|양구군,강원,양구군,2005,4143,16840,59123
강원|양구군,강원,양구군,2006,4032,15752,56910
강원|양구군,강원,양구군,2007,5056,18953,58870
강원|양구군,강원,양구군,2008,5552,19018,60522
강원|양구군,강원,양구군,2009,5143,18057,65842
강원|양구군,강원,양구군,2010,4166,16542,78693
강원|양구군,강원,양구군,2011,3777,15615,89915
강원|양구군,강원,양구군,2012,4154,15903,90172
강원|양구군,강원,양구군,2013,4388,17006,90978
강원|양구군,강원,양구군,2014,4655,17625,90396
강원|양구군,강원,양구군,2015,4803,18154,90929
강원|양구군,강원,양구군,2016,5083,18665,91405
강원|양구군,강원,양구군,2017,5399,19184,92145
강원|양구군,강원,양구군,2018,5956,20225,92718
강원|양구군,강원,양구군,2019,6381,21256,92921
강원|양구군,강원,양구군,2020,6776,21848,93140
강원|양구군,강원,양구군,2021,7449,23490,93862
강원|양구군,강원,양구군,2022,8072,25168,94611
강원|양구군,강원,양구군,2023,7647,23505,94792
강원|양구군,강원,양구군,2024,7671,23520,95268
강원|양구군,강원,양구군,2025,7753,23691,95724
강원|양구군,강원,양구군,2026,7763,23547,96208
강원|양양군,강원,양양군,1990,2693,10213,64926
강원|양양군,강원,양양군,1991,2700,12106,64194
강원|양양군,강원,양양군,1992,3005,13026,68128
강원|양양군,강원,양양군,1993,2976,12770,69888
강원|양양군,강원,양양군,1994,2924,12661,70090
강원|양양군,강원,양양군,1995,2826,14941,71692
강원|양양군,강원,양양군,1996,3089,16286,72268
강원|양양군,강원,양양군,1997,3462,17503,75066
강원|양양군,강원,양양군,1998,3750,19674,78858
강원|양양군,강원,양양군,1999,3460,18141,79598
강원|양양군,강원,양양군,2000,3721,19037,81436
강원|양양군,강원,양양군,2001,4014,19673,81557
강원|양양군,강원,양양군,2002,4136,19842,82429
강원|양양군,강원,양양군,2003,4237,20372,83403
강원|양양군,강원,양양군,2004,5661,21790,84249
강원|양양군,강원,양양군,2005,7255,26114,84547
강원|양양군,강원,양양군,2006,7447,24932,77472
강원|양양군,강원,양양군,2007,8393,28618,82390
강원|양양군,강원,양양군,2008,8401,28672,84089
강원|양양군,강원,양양군,2009,7185,24511,109843
강원|양양군,강원,양양군,2010,7034,24536,111123
강원|양양군,강원,양양군,2011,7103,24689,112064
강원|양양군,강원,양양군,2012,7838,26176,112657
강원|양양군,강원,양양군,2013,8076,26767,113232
강원|양양군,강원,양양군,2014,8543,28047,113476
강원|양양군,강원,양양군,2015,8958,28854,114071
강원|양양군,강원,양양군,2016,9388,29936,114602
강원|양양군,강원,양양군,2017,9920,31192,115517
강원|양양군,강원,양양군,2018,11034,34377,116411
강원|양양군,강원,양양군,2019,12423,38325,117149
강원|양양군,강원,양양군,2020,13576,40780,118044
강원|양양군,강원,양양군,2021,15469,46810,119010
강원|양양군,강원,양양군,2022,18024,55051,119711
강원|양양군,강원,양양군,2023,17293,53449,120156
강원|양양군,강원,양양군,2024,17404,54124,120884
강원|양양군,강원,양양군,2025,17979,55696,122380
강원|양양군,강원,양양군,2026,18419,57769,123487
강원|영월군,강원,영월군,1990,1492,7899,86203
강원|영월군,강원,영월군,1991,1483,9411,86906
강원|영월군,강원,영월군,1992,1561,10899,86388
강원|영월군,강원,영월군,1993,1744,11650,87728
강원|영월군,강원,영월군,1994,1746,11912,87430
강원|영월군,강원,영월군,1995,1758,11839,88689
강원|영월군,강원,영월군,1996,1663,11212,94378
강원|영월군,강원,영월군,1997,1398,9863,114533
강원|영월군,강원,영월군,1998,1740,10856,120992
강원|영월군,강원,영월군,1999,1667,10181,122675
강원|영월군,강원,영월군,2000,1701,10007,123888
강원|영월군,강원,영월군,2001,1829,9740,124357
강원|영월군,강원,영월군,2002,1941,9660,125625
강원|영월군,강원,영월군,2003,2086,9778,126968
강원|영월군,강원,영월군,2004,2646,10663,128149
강원|영월군,강원,영월군,2005,3755,12094,129860
강원|영월군,강원,영월군,2006,3950,11373,125854
강원|영월군,강원,영월군,2007,4401,13223,133147
강원|영월군,강원,영월군,2008,4712,13882,134691
강원|영월군,강원,영월군,2009,4670,13774,135898
강원|영월군,강원,영월군,2010,4731,13922,137467
강원|영월군,강원,영월군,2011,4962,14459,138694
강원|영월군,강원,영월군,2012,5306,15683,140075
강원|영월군,강원,영월군,2013,5850,16988,139042
강원|영월군,강원,영월군,2014,6574,18456,138886
강원|영월군,강원,영월군,2015,7048,19517,139645
강원|영월군,강원,영월군,2016,7262,20275,140554
강원|영월군,강원,영월군,2017,7647,20955,141384
강원|영월군,강원,영월군,2018,8395,22297,140893
강원|영월군,강원,영월군,2019,9414,24326,141964
강원|영월군,강원,영월군,2020,10085,25904,142529
강원|영월군,강원,영월군,2021,11155,28255,143514
강원|영월군,강원,영월군,2022,12196,30450,144828
강원|영월군,강원,영월군,2023,11266,28255,145367
강원|영월군,강원,영월군,2024,11294,28184,147192
강원|영월군,강원,영월군,2025,11437,28557,147944
강원|영월군,강원,영월군,2026,11629,28991,148604
강원|원주시,강원,원주시,1990,5326,51864,135418
강원|원주시,강원,원주시,1991,5433,62084,142953
강원|원주시,강원,원주시,1992,5494,65080,142132
강원|원주시,강원,원주시,1993,5461,71085,140913
강원|원주시,강원,원주시,1994,5400,71231,143043
강원|원주시,강원,원주시,1995,6087,74658,146042
강원|원주시,강원,원주시,1996,6336,75310,150989
강원|원주시,강원,원주시,1997,7113,80079,152037
강원|원주시,강원,원주시,1998,7590,81989,154156
강원|원주시,강원,원주시,1999,7364,75094,155912
