sido,sido,sigungu,year,price_median,price_avg,parcels
강원도,강원도,,1990,2517,25983,1352119
강원도,강원도,,1991,2698,30247,1410097
강원도,강원도,,1992,2968,33868,1428479
강원도,강원도,,1993,2912,33845,1449415
강원도,강원도,,1994,2830,33551,1482662
강원도,강원도,,1995,2896,34353,1536449
강원도,강원도,,1996,2951,34546,1583813
강원도,강원도,,1997,3112,35911,1656551
강원도,강원도,,1998,3471,37138,1698635
강원도,강원도,,1999,3336,34301,1723722
강원도,강원도,,2000,3535,34860,1747792
강원도,강원도,,2001,3753,34817,1765390
강원도,강원도,,2002,3892,35040,1788257
강원도,강원도,,2003,4128,35993,1808747
강원도,강원도,,2004,5295,39600,1834342
강원도,강원도,,2005,7124,43768,1859563
강원도,강원도,,2006,7748,41256,1781061
강원도,강원도,,2007,9068,47337,1946446
강원도,강원도,,2008,9638,48456,2003215
강원도,강원도,,2009,9199,45577,2190391
강원도,강원도,,2010,8920,44226,2340765
강원도,강원도,,2011,8943,43643,2448899
강원도,강원도,,2012,9875,45646,2489920
강원도,강원도,,2013,10570,47239,2506470
강원도,강원도,,2014,11384,49097,2517527
강원도,강원도,,2015,12073,50849,2538334
강원도,강원도,,2016,12801,52750,2549348
강원도,강원도,,2017,13519,54533,2569962
강원도,강원도,,2018,14597,57657,2590549
강원도,강원도,,2019,15729,60840,2614666
강원도,강원도,,2020,16610,63266,2637156
강원도,강원도,,2021,18169,68496,2662603
강원도,강원도,,2022,19819,73986,2684478
강원도,강원도,,2023,18617,69659,2690979
강원도,강원도,,2024,18788,70010,2719811
강원도,강원도,,2025,19076,71083,2735600
강원도,강원도,,2026,19272,71968,2750257
경기도,경기도,,1990,9107,81492,2528789
경기도,경기도,,1991,10099,102245,2689200
경기도,경기도,,1992,11450,118345,2731294
경기도,경기도,,1993,10985,115426,2770923
경기도,경기도,,1994,10245,111410,2812807
경기도,경기도,,1995,10885,112966,2875115
경기도,경기도,,1996,11534,112245,3021329
경기도,경기도,,1997,13500,115684,3123827
경기도,경기도,,1998,15423,117720,3208844
경기도,경기도,,1999,14358,105328,3282567
경기도,경기도,,2000,15746,109093,3296110
경기도,경기도,,2001,16742,109906,3378409
경기도,경기도,,2002,17630,113553,3446438
경기도,경기도,,2003,20537,128815,3511636
경기도,경기도,,2004,27238,156217,3575698
경기도,경기도,,2005,44266,197468,3646747
경기도,경기도,,2006,52302,202722,3432512
경기도,경기도,,2007,65948,253134,3756291
경기도,경기도,,2008,71969,272688,3795051
경기도,경기도,,2009,70422,266717,3886395
경기도,경기도,,2010,70410,269239,3990957
경기도,경기도,,2011,70646,272165,4120434
경기도,경기도,,2012,75035,282785,4183617
경기도,경기도,,2013,77091,286498,4216157
경기도,경기도,,2014,79365,293478,4249982
경기도,경기도,,2015,81756,297567,4277997
경기도,경기도,,2016,84333,304824,4328204
경기도,경기도,,2017,86750,312482,4386416
경기도,경기도,,2018,90122,321621,4477325
경기도,경기도,,2019,93953,335612,4560105
경기도,경기도,,2020,97452,348472,4625762
경기도,경기도,,2021,103751,375842,4740093
경기도,경기도,,2022,111505,407355,4809726
경기도,경기도,,2023,106511,396957,4931156
경기도,경기도,,2024,104960,381611,4906078
경기도,경기도,,2025,105758,374164,5444664
경기도,경기도,,2026,107852,398273,4937956
경상남도,경상남도,,1990,2984,33004,3007659
경상남도,경상남도,,1991,3061,38104,3060949
경상남도,경상남도,,1992,3412,45014,3034664
경상남도,경상남도,,1993,3286,43492,3110994
경상남도,경상남도,,1994,3168,41678,3168444
경상남도,경상남도,,1995,3271,41094,3236518
경상남도,경상남도,,1996,3320,41080,3326162
경상남도,경상남도,,1997,3568,42079,3396717
경상남도,경상남도,,1998,3832,42813,3412955
경상남도,경상남도,,1999,3724,39205,3417561
경상남도,경상남도,,2000,3897,40241,3425127
경상남도,경상남도,,2001,4107,40649,3471753
경상남도,경상남도,,2002,4202,41146,3487357
경상남도,경상남도,,2003,4391,42351,3500109
경상남도,경상남도,,2004,5435,46947,3496105
경상남도,경상남도,,2005,7979,52522,3506449
경상남도,경상남도,,2006,8088,47617,3381486
경상남도,경상남도,,2007,9632,57087,3739323
경상남도,경상남도,,2008,10038,58696,3787726
경상남도,경상남도,,2009,10058,58422,3821549
경상남도,경상남도,,2010,10170,58821,3841412
경상남도,경상남도,,2011,10516,59854,3853955
경상남도,경상남도,,2012,11321,63181,3858099
경상남도,경상남도,,2013,12241,66949,3864378
경상남도,경상남도,,2014,13475,71226,3880950
경상남도,경상남도,,2015,14694,76081,3902319
경상남도,경상남도,,2016,15908,80417,3948368
경상남도,경상남도,,2017,17275,85195,3986333
경상남도,경상남도,,2018,18917,89997,4068202
경상남도,경상남도,,2019,19893,93258,4128018
경상남도,경상남도,,2020,20903,93818,4230596
경상남도,경상남도,,2021,21670,98231,4372062
경상남도,경상남도,,2022,23192,104552,4426929
경상남도,경상남도,,2023,21141,95677,4467083
경상남도,경상남도,,2024,21002,95300,4511102
경상남도,경상남도,,2025,20949,96076,4528906
경상남도,경상남도,,2026,21368,96039,4577706
경상북도,경상북도,,1990,3008,23806,3446080
경상북도,경상북도,,1991,3044,27393,3411032
경상북도,경상북도,,1992,3150,28797,3494092
경상북도,경상북도,,1993,3103,28167,3539569
경상북도,경상북도,,1994,3017,27398,3621988
경상북도,경상북도,,1995,3119,27530,3734059
경상북도,경상북도,,1996,3224,28122,3807852
경상북도,경상북도,,1997,3492,29645,3829910
경상북도,경상북도,,1998,3856,30437,3857705
경상북도,경상북도,,1999,3753,27729,3866586
경상북도,경상북도,,2000,4022,28605,3878135
경상북도,경상북도,,2001,4151,28679,3897453
경상북도,경상북도,,2002,4226,28903,3907927
경상북도,경상북도,,2003,4355,29578,3911242
경상북도,경상북도,,2004,5170,32348,3902122
경상북도,경상북도,,2005,6562,35827,3911719
경상북도,경상북도,,2006,6852,34495,3654199
경상북도,경상북도,,2007,7784,40460,3969634
경상북도,경상북도,,2008,7999,41844,3982496
경상북도,경상북도,,2009,7952,41461,3999458
경상북도,경상북도,,2010,8067,42188,3998883
경상북도,경상북도,,2011,8207,42959,3993992
경상북도,경상북도,,2012,8786,44931,4001825
경상북도,경상북도,,2013,9343,46306,4010932
경상북도,경상북도,,2014,10562,49069,4027063
경상북도,경상북도,,2015,11793,52188,4033939
경상북도,경상북도,,2016,13146,55930,4049211
경상북도,경상북도,,2017,14716,59413,4059105
경상북도,경상북도,,2018,16096,62926,4078515
경상북도,경상북도,,2019,17225,66697,4100515
경상북도,경상북도,,2020,18200,69623,4122876
경상북도,경상북도,,2021,19971,75068,4160278
경상북도,경상북도,,2022,21514,80205,4221602
경상북도,경상북도,,2023,19929,74422,4223054
경상북도,경상북도,,2024,20025,74418,4281150
경상북도,경상북도,,2025,20317,75334,4290039
경상북도,경상북도,,2026,20571,76056,4308441
광주광역시,광주광역시,,1990,67991,222945,281058
광주광역시,광주광역시,,1991,83240,278513,290256
광주광역시,광주광역시,,1992,99085,302722,292026
광주광역시,광주광역시,,1993,93127,300048,288208
광주광역시,광주광역시,,1994,92372,290777,288751
광주광역시,광주광역시,,1995,99663,295961,291466
광주광역시,광주광역시,,1996,100882,294161,294510
광주광역시,광주광역시,,1997,103657,297484,297124
광주광역시,광주광역시,,1998,111857,297218,307160
광주광역시,광주광역시,,1999,106697,269866,311241
광주광역시,광주광역시,,2000,110822,269443,310937
광주광역시,광주광역시,,2001,114103,264673,312059
광주광역시,광주광역시,,2002,115111,262352,313205
광주광역시,광주광역시,,2003,121829,264273,314487
광주광역시,광주광역시,,2004,130086,270318,316676
광주광역시,광주광역시,,2005,140843,273428,316296
광주광역시,광주광역시,,2006,82938,254254,249144
광주광역시,광주광역시,,2007,158801,277897,317510
광주광역시,광주광역시,,2008,117716,251745,361994
광주광역시,광주광역시,,2009,117805,249877,360072
광주광역시,광주광역시,,2010,110272,241598,387284
광주광역시,광주광역시,,2011,111212,242534,389602
광주광역시,광주광역시,,2012,111949,243216,385119
광주광역시,광주광역시,,2013,112341,243346,385734
광주광역시,광주광역시,,2014,117215,246604,382907
광주광역시,광주광역시,,2015,119113,251198,382199
광주광역시,광주광역시,,2016,123304,260581,383376
광주광역시,광주광역시,,2017,131686,273697,382380
광주광역시,광주광역시,,2018,143796,290708,381331
광주광역시,광주광역시,,2019,158858,317924,380542
광주광역시,광주광역시,,2020,167820,338793,381646
광주광역시,광주광역시,,2021,190101,384110,385981
광주광역시,광주광역시,,2022,207819,421609,386262
광주광역시,광주광역시,,2023,194435,397240,383668
광주광역시,광주광역시,,2024,196443,397083,384393
광주광역시,광주광역시,,2025,195848,400316,383796
광주광역시,광주광역시,,2026,194561,402923,382008
대구광역시,대구광역시,,1990,60654,244277,562580
대구광역시,대구광역시,,1991,90731,322088,570678
대구광역시,대구광역시,,1992,103659,343687,575403
대구광역시,대구광역시,,1993,97127,321988,574871
대구광역시,대구광역시,,1994,90110,307295,578214
대구광역시,대구광역시,,1995,93290,309391,583037
대구광역시,대구광역시,,1996,93537,308042,592001
대구광역시,대구광역시,,1997,94273,309502,599198
대구광역시,대구광역시,,1998,101030,308081,604474
대구광역시,대구광역시,,1999,89541,268587,604719
대구광역시,대구광역시,,2000,92249,271596,604827
대구광역시,대구광역시,,2001,90296,265982,605568
대구광역시,대구광역시,,2002,100069,270286,597033
대구광역시,대구광역시,,2003,105497,276715,596193
대구광역시,대구광역시,,2004,114972,287432,594743
대구광역시,대구광역시,,2005,130172,297949,597940
대구광역시,대구광역시,,2006,59902,302106,474893
대구광역시,대구광역시,,2007,159994,344415,590018
대구광역시,대구광역시,,2008,168876,360517,585169
대구광역시,대구광역시,,2009,170690,351969,580800
대구광역시,대구광역시,,2010,173675,353191,574965
대구광역시,대구광역시,,2011,172273,357680,571346
대구광역시,대구광역시,,2012,174715,368533,570937
대구광역시,대구광역시,,2013,180534,376017,571623
대구광역시,대구광역시,,2014,186815,386655,574617
대구광역시,대구광역시,,2015,196508,405949,571360
대구광역시,대구광역시,,2016,213132,435826,573306
대구광역시,대구광역시,,2017,224557,465477,573430
대구광역시,대구광역시,,2018,246668,506096,576215
대구광역시,대구광역시,,2019,263582,553900,575946
대구광역시,대구광역시,,2020,289144,599065,574122
대구광역시,대구광역시,,2021,307832,673861,577414
대구광역시,대구광역시,,2022,333776,750528,576898
대구광역시,대구광역시,,2023,307321,707363,574030
대구광역시,대구광역시,,2024,295528,702824,572537
대구광역시,대구광역시,,2025,284499,696747,567147
대구광역시,대구광역시,,2026,277017,698122,564927
대전광역시,대전광역시,,1990,133482,216672,209303
대전광역시,대전광역시,,1991,171421,263104,211976
대전광역시,대전광역시,,1992,209300,319304,210083
대전광역시,대전광역시,,1993,188468,282327,207659
대전광역시,대전광역시,,1994,182812,266084,210408
대전광역시,대전광역시,,1995,175508,263016,225386
대전광역시,대전광역시,,1996,180457,263389,220977
대전광역시,대전광역시,,1997,186568,267776,224366
대전광역시,대전광역시,,1998,182896,261437,230459
대전광역시,대전광역시,,1999,178399,245693,226778
대전광역시,대전광역시,,2000,185164,243341,225341
대전광역시,대전광역시,,2001,190258,242391,226103
대전광역시,대전광역시,,2002,195473,245054,224062
대전광역시,대전광역시,,2003,203633,253767,222829
대전광역시,대전광역시,,2004,246760,298521,222865
대전광역시,대전광역시,,2005,279919,333602,222496
대전광역시,대전광역시,,2006,199185,366706,165710
대전광역시,대전광역시,,2007,332020,401658,226710
대전광역시,대전광역시,,2008,348887,417830,226627
대전광역시,대전광역시,,2009,337698,409317,225840
대전광역시,대전광역시,,2010,345201,414466,224677
대전광역시,대전광역시,,2011,356292,426538,222044
대전광역시,대전광역시,,2012,377987,449257,222779
대전광역시,대전광역시,,2013,390456,458102,224940
대전광역시,대전광역시,,2014,405543,468733,226364
대전광역시,대전광역시,,2015,421818,482532,225102
대전광역시,대전광역시,,2016,434237,496455,225095
대전광역시,대전광역시,,2017,454898,515332,225208
대전광역시,대전광역시,,2018,475162,535558,225686
대전광역시,대전광역시,,2019,497676,558331,226010
대전광역시,대전광역시,,2020,517721,584177,226568
대전광역시,대전광역시,,2021,532011,622012,238403
대전광역시,대전광역시,,2022,586826,688689,237636
대전광역시,대전광역시,,2023,548665,651549,237127
대전광역시,대전광역시,,2024,553360,658742,237732
대전광역시,대전광역시,,2025,562651,668952,237766
대전광역시,대전광역시,,2026,570238,678006,237805
부산광역시,부산광역시,,1990,419429,498130,505441
부산광역시,부산광역시,,1991,475990,569137,565468
부산광역시,부산광역시,,1992,544054,650937,560681
부산광역시,부산광역시,,1993,537066,630792,569266
부산광역시,부산광역시,,1994,512544,598433,580582
부산광역시,부산광역시,,1995,511439,591644,583021
부산광역시,부산광역시,,1996,505159,584082,596360
부산광역시,부산광역시,,1997,505720,584960,604774
부산광역시,부산광역시,,1998,500441,576875,606057
부산광역시,부산광역시,,1999,433548,497095,608116
부산광역시,부산광역시,,2000,434524,499767,612654
부산광역시,부산광역시,,2001,429423,494407,615841
부산광역시,부산광역시,,2002,428773,494215,622282
부산광역시,부산광역시,,2003,433038,504236,626004
부산광역시,부산광역시,,2004,441797,520268,629451
부산광역시,부산광역시,,2005,449810,534468,632166
부산광역시,부산광역시,,2006,396205,551749,493829
부산광역시,부산광역시,,2007,445406,537590,688751
부산광역시,부산광역시,,2008,441621,537014,705737
부산광역시,부산광역시,,2009,430401,527443,716286
부산광역시,부산광역시,,2010,425829,523604,724365
부산광역시,부산광역시,,2011,429256,530229,724403
부산광역시,부산광역시,,2012,439497,546273,727330
부산광역시,부산광역시,,2013,451713,563637,719819
부산광역시,부산광역시,,2014,462390,581780,720372
부산광역시,부산광역시,,2015,481694,612085,715282
부산광역시,부산광역시,,2016,502744,650886,713308
부산광역시,부산광역시,,2017,535725,714050,707514
부산광역시,부산광역시,,2018,580301,795204,708222
부산광역시,부산광역시,,2019,618811,876236,707442
부산광역시,부산광역시,,2020,646889,931611,702876
부산광역시,부산광역시,,2021,706648,1032556,704949
부산광역시,부산광역시,,2022,768836,1141265,704106
부산광역시,부산광역시,,2023,718589,1077238,699691
부산광역시,부산광역시,,2024,713306,1076051,698797
부산광역시,부산광역시,,2025,717969,1086993,696842
부산광역시,부산광역시,,2026,715554,1095153,691197
서울특별시,서울특별시,,1990,749843,959284,920654
서울특별시,서울특별시,,1991,976412,1233936,997507
서울특별시,서울특별시,,1992,1052066,1324288,987595
서울특별시,서울특별시,,1993,1023369,1300612,978410
서울특별시,서울특별시,,1994,971364,1225554,974949
서울특별시,서울특별시,,1995,970931,1222322,967225
서울특별시,서울특별시,,1996,967838,1206937,993872
서울특별시,서울특별시,,1997,977821,1227369,1008616
서울특별시,서울특별시,,1998,980053,1229009,1006299
